Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Tổng_Tiện_Ích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,3.5,1.5040773967762742,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.5,1.252762968495368,14.0,2.70805020110221,1,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,2.200209497206704,Hoà Vang,1.5333333333333332,0.8,0.5877866649021191,10.0,2.3978952727983707,3,0,0,0,0,0,0,1,0,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,3.0,1.3862943611198906,30.0,3.4339872044851463,1,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.2,1.1631508098056809,14.0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.1,1.1314021114911006,16.0,2.833213344056216,4,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,25.0,3.258096538021482,2,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.8,1.0296194171811583,25.0,3.258096538021482,1,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.4,1.4816045409242156,30.0,3.4339872044851463,2,0,0,0,0,1,1,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.0,1.6094379124341003,40.0,3.713572066704308,4,1,1,0,0,1,0,0,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.5,1.252762968495368,35.0,3.58351893845611,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.5,1.252762968495368,40.0,3.713572066704308,2,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,0.8,0.5877866649021191,14.0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.0,0.6931471805599453,12.0,2.5649493574615367,1,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.0,1.0986122886681098,20.0,3.044522437723423,1,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.3,1.1939224684724346,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.5,1.252762968495368,35.0,3.58351893845611,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.2,0.7884573603642702,12.0,2.5649493574615367,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.5,1.252762968495368,25.0,3.258096538021482,3,1,1,0,0,0,0,0,0,0,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,1.1,0.7419373447293773,30.0,3.4339872044851463,2,0,0,0,0,0,0,0,0,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.0,1.0986122886681098,20.0,3.044522437723423,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,1.5,0.9162907318741551,30.0,3.4339872044851463,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.5,0.9162907318741551,12.0,2.5649493574615367,2,1,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.7,1.308332819650179,24.0,3.2188758248682006,2,0,0,0,0,0,0,1,1,0,0
